global_step=3440, return=-2.7717385723545105
global_step=3488, return=6.024386332191188
global_step=3504, return=1.6786484264791297
global_step=3520, return=-2.233929353880841
global_step=3520, return=5.74604291009654
global_step=3536, return=2.7104279492062684
global_step=3536, return=-5.4553901152322055
global_step=3568, return=-1.388225816872046
global_step=3568, return=13.458070345526435
global_step=3584, return=4.394026500122515
global_step=3600, return=-3.374572836533482
global_step=3632, return=5.524602431249903
global_step=3648, return=4.728554587209043
global_step=3680, return=-2.78140469906195
global_step=3696, return=-3.1466803566757386
global_step=3712, return=2.507079308240525
global_step=3712, return=-3.044110185110756
global_step=3728, return=3.930792535350763
global_step=3760, return=6.1207635291547735
global_step=3776, return=1.14940071688651
global_step=3808, return=2.014346219682974
global_step=3824, return=-1.8525623611666082
global_step=3840, return=-1.6874019629608095
global_step=3888, return=-5.2455604401743985
global_step=3936, return=1.3617312015207785
global_step=3952, return=6.3385639406857
global_step=3984, return=-0.6609354902746571
global_step=3984, return=4.63053708804999
global_step=4000, return=12.980826170161503
global_step=4016, return=0.3834563034298202
global_step=4032, return=-1.4026480539524315
global_step=4032, return=-4.587046760249075
global_step=4064, return=3.717475003827703
global_step=4096, return=4.882759511962526
SPS: 788
global_step=4144, return=-6.449586877574416
global_step=4160, return=4.482697902518304
global_step=4176, return=-6.993635970008649
global_step=4176, return=2.758380699600346
global_step=4192, return=0.07863263277250171
global_step=4208, return=-7.165711196080052
global_step=4208, return=1.3802325051523803
global_step=4208, return=-2.8233878406742883
global_step=4304, return=-1.2966823599666086
global_step=4336, return=11.675265404099274
global_step=4352, return=0.20354903379651756
global_step=4400, return=9.946783079649418
global_step=4400, return=4.5170736493356864
global_step=4416, return=-0.16431903304177498
global_step=4416, return=2.1132089638722706
global_step=4496, return=-3.715924091383897
global_step=4512, return=-0.3256968553501054
global_step=4528, return=0.43961565730656016
global_step=4576, return=-5.20437931810953
global_step=4624, return=6.023480973693481
global_step=4640, return=-3.7303164847286965
global_step=4640, return=-2.539081663363556
global_step=4640, return=4.508578940641414
global_step=4688, return=2.308883325472012
global_step=4768, return=6.133890961590591
global_step=4768, return=-3.754798039919258
global_step=4784, return=5.560764498327045
global_step=4784, return=5.859051891802663
global_step=4784, return=0.8771688589741324
global_step=4800, return=5.689441146155133
global_step=4864, return=0.202804658559542
global_step=4864, return=4.529631865826021
global_step=4928, return=8.943349091755467
global_step=4928, return=-6.328245218167796
global_step=4944, return=-12.146113614708273
global_step=4960, return=10.539376997609226
global_step=4976, return=-0.8495596885974701
global_step=5024, return=-1.4465697432798925
global_step=5024, return=-0.7299921580781734
global_step=5040, return=1.8205313215552759
global_step=5040, return=-0.7441746456571943
global_step=5104, return=-12.120026711289055
global_step=5104, return=-7.473067092717786
global_step=5136, return=3.4849527005411103
global_step=5152, return=1.9806649356937343
global_step=5152, return=1.5767123176081015
global_step=5168, return=-3.857293625479155
global_step=5200, return=-5.00336946602619
global_step=5248, return=-5.45825377388991
global_step=5264, return=1.2644910654835386
global_step=5280, return=-3.213770808939724
global_step=5328, return=5.496931646987765
global_step=5344, return=-1.7886126945833918
global_step=5376, return=-1.556232833259386
global_step=5392, return=0.9111971718351526
global_step=5392, return=0.374393804170419
global_step=5408, return=17.43651876019219
global_step=5440, return=-5.005304275974729
global_step=5456, return=-3.5280656043080008
global_step=5472, return=8.577273737977006
global_step=5488, return=-4.769915339006128
global_step=5536, return=-1.892577044930714
global_step=5552, return=-1.6068120594383188
global_step=5584, return=15.643866547744217
global_step=5632, return=-3.725055767079526
global_step=5648, return=-3.212128694129846
global_step=5648, return=-3.2589532662415897
global_step=5664, return=7.05481049286737
global_step=5664, return=7.000333175164975
global_step=5680, return=-2.6780288722341714
global_step=5680, return=-3.9059956796028503
global_step=5712, return=7.379978361206261
global_step=5728, return=4.555540500462554
global_step=5776, return=-4.293669689057174
global_step=5808, return=-2.5284897621298077
global_step=5824, return=-2.445267371182149
global_step=5856, return=0.46983282572591567
global_step=5872, return=-1.7617997008239346
global_step=5920, return=0.2582079516941207
global_step=5936, return=9.619888521274545
global_step=5936, return=18.173578138142144
global_step=5936, return=-2.6977236144485977
global_step=5952, return=-1.2650782702735457
global_step=5952, return=-3.668669818625177
global_step=5968, return=4.399432526144388
global_step=6016, return=-3.4722353172422236
global_step=6048, return=6.6556669170637495
global_step=6112, return=-4.868206041413414
global_step=6144, return=-6.978883540595634
SPS: 845
global_step=6224, return=-6.517237894945181
global_step=6224, return=-1.8577504019186064
global_step=6256, return=13.099998463641732
global_step=6272, return=-7.997233032396609
global_step=6288, return=-0.9098774196655106
global_step=6288, return=3.6865219161383234
global_step=6304, return=-1.468258249058684
global_step=6320, return=18.924521586715354
global_step=6336, return=5.824744998855488
global_step=6384, return=2.454989310646246
global_step=6384, return=-1.3291184917422152
global_step=6400, return=8.396664105422037
global_step=6432, return=26.047301491191632
global_step=6480, return=4.689404370202863
global_step=6512, return=-1.9694479875914814
global_step=6512, return=0.5406777130590336
global_step=6528, return=11.770441471931623
global_step=6560, return=12.948779411609875
global_step=6640, return=5.186926709090159
global_step=6656, return=-5.6445536685987285
global_step=6672, return=-1.3329261350194448
global_step=6688, return=-1.9319748365102465
global_step=6704, return=6.611535282526137
global_step=6752, return=3.8790383082948097
global_step=6784, return=-1.8057414711707507
global_step=6816, return=17.246180490125536
global_step=6880, return=-4.543975381989446
global_step=6896, return=0.09931489064713617
global_step=6912, return=4.259319823965811
global_step=6960, return=17.523073303255305
global_step=6960, return=9.927067521618552
global_step=7008, return=12.289363402969311
global_step=7056, return=4.878748402189011
global_step=7072, return=-3.3691055660368106
global_step=7072, return=12.119373211204685
global_step=7136, return=0.0399672548157326
global_step=7184, return=-0.41673091415063435
global_step=7200, return=13.540960610889831
global_step=7232, return=-5.656942278659149
global_step=7248, return=-4.401870752071428
global_step=7264, return=8.893541195237173
global_step=7280, return=50.442781878473866
global_step=7296, return=-0.6483614195235414
global_step=7296, return=-0.2534315753677452
global_step=7312, return=0.7639038666126592
global_step=7312, return=7.499118671253527
global_step=7376, return=-5.143748325422804
global_step=7456, return=31.389260156674478
global_step=7456, return=23.019286897537107
global_step=7472, return=1.8431494569847289
global_step=7472, return=2.6378485673515364
global_step=7488, return=19.366652932837983
global_step=7664, return=7.4771192530605965
global_step=7680, return=17.536944664855717
global_step=7696, return=3.549179469677812
global_step=7728, return=12.998757639393618
global_step=7760, return=2.5646649690153094
global_step=7760, return=4.459405328711091
global_step=7776, return=-3.7530708172971208
global_step=7792, return=5.175985461700622
global_step=7792, return=16.33554037380918
global_step=7808, return=-3.839856945488216
global_step=7856, return=23.744169254660182
global_step=7920, return=4.010042843154988
global_step=7936, return=16.803673063899105
global_step=7968, return=4.48338039246344
global_step=8000, return=2.4982975685632853
global_step=8032, return=1.6662342328928317
global_step=8032, return=17.705257395713062
global_step=8032, return=13.918551059708639
global_step=8112, return=8.679056806769175
global_step=8112, return=4.457820028323855
global_step=8160, return=17.60808869185373
global_step=8160, return=-1.542786659282506
SPS: 876
global_step=8208, return=18.865984541767023
global_step=8240, return=5.8255692767195075
global_step=8256, return=-0.025896083036563988
global_step=8272, return=3.795655366731503
global_step=8288, return=5.640330294018408
global_step=8288, return=2.221727487080009
global_step=8288, return=0.6033312220227814
global_step=8304, return=6.656914669760666
global_step=8464, return=3.8317537487962423
global_step=8672, return=-2.250843117958298
global_step=8720, return=5.557004927294324
global_step=8800, return=-0.6229581025227935
global_step=8848, return=23.02984066208748
global_step=8896, return=20.678730365604835
global_step=8928, return=30.560369518121657
global_step=8944, return=22.096214398243273
global_step=8960, return=15.121351297629808
global_step=8992, return=14.234329745803425
global_step=9024, return=5.482072044062344
global_step=9024, return=18.50778138209671
global_step=9072, return=17.58790626886065
global_step=9104, return=19.359896090631135
global_step=9248, return=13.07855665302686
global_step=9264, return=35.09794101570038
global_step=9280, return=5.306337834601381
global_step=9376, return=53.753968506432
global_step=9376, return=1.4129680706589696
global_step=9392, return=18.01164073807688
global_step=9408, return=9.36838462872607
global_step=9504, return=11.747904880266766
global_step=9504, return=5.361487528659475
global_step=9584, return=55.78385941995349
global_step=9600, return=24.593910077404132
global_step=9600, return=2.50291951477415
global_step=9744, return=6.356064630117164
global_step=9776, return=16.374962137219647
global_step=9776, return=-2.0351262982271914
global_step=9792, return=5.220174858463424
global_step=9808, return=13.401614376348338
global_step=9840, return=27.69631802320256
global_step=9872, return=10.015481493698973
global_step=9904, return=3.607507346275868
global_step=9936, return=-2.760329023649378
global_step=10000, return=-2.9446286845022636
global_step=10032, return=9.392518038914721
global_step=10048, return=9.619640303309987
global_step=10064, return=3.639249891329983
global_step=10064, return=-4.190573329736191
global_step=10128, return=6.796132149944034
global_step=10128, return=28.06096903329211
global_step=10144, return=1.303659223418414
global_step=10160, return=4.391119674269051
global_step=10176, return=48.07878914742298
global_step=10208, return=3.281520776205405
global_step=10224, return=-3.5792902099647104
SPS: 899
global_step=10288, return=9.510284866842525
global_step=10288, return=-1.3593479420952865
global_step=10304, return=-0.6987205859132939
global_step=10352, return=5.657139545743635
global_step=10384, return=-1.7218655053779974
global_step=10576, return=20.627484304754493
