wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/okeren/.netrc.
wandb: Currently logged in as: uri-koren (uri-koren-technion-israel-institute-of-technology) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/okeren/RobustRL/wandb/run-20260618_004749-0czqqjc7
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run Walker2d-v5__baseline__3__1781758066
wandb: ⭐️ View project at https://wandb.ai/uri-koren-technion-israel-institute-of-technology/RobustRL
wandb: 🚀 View run at https://wandb.ai/uri-koren-technion-israel-institute-of-technology/RobustRL/runs/0czqqjc7
wandb: WARNING Step cannot be set when using tensorboard syncing. Please use `run.define_metric(...)` to define a custom metric to log your step values.
global_step=3584, return=-5.281323050605678
global_step=3584, return=-6.282250970529921
global_step=3584, return=-4.391425557550839
global_step=3648, return=-11.200446265533333
global_step=3648, return=3.352431027823773
global_step=3648, return=1.5632616376880228
global_step=3648, return=-5.349886905668791
global_step=3712, return=3.7048794490894528
global_step=3712, return=-0.6423596428502025
global_step=3712, return=-2.967235553199678
global_step=3776, return=-5.76632350994317
global_step=3776, return=-2.4731726507606355
global_step=3776, return=10.48117337564093
global_step=3776, return=2.694107266254087
global_step=3840, return=10.508752959710485
global_step=3840, return=-0.1450374640576001
global_step=3968, return=-3.5885829236119937
global_step=3968, return=-2.464363034018117
global_step=3968, return=-7.334697344953912
global_step=3968, return=-2.031609116815979
global_step=4032, return=-0.012674184014485057
global_step=4032, return=-5.790294258975154
global_step=4032, return=3.1286563059979655
global_step=4032, return=-0.41312053744676125
global_step=4096, return=5.851803749675847
global_step=4160, return=2.1418832090420414
global_step=4160, return=-4.339735573083877
global_step=4160, return=-3.05806405307008
global_step=4160, return=1.3941047680497833
global_step=4224, return=4.207510702741935
global_step=4224, return=1.1963183374647306
global_step=4224, return=-9.42683051324399
global_step=4224, return=-1.7809095484533197
global_step=4224, return=-3.0845503067442506
global_step=4224, return=-6.246994970188309
global_step=4224, return=-5.254667438339231
global_step=4224, return=0.8780538578074659
global_step=4224, return=13.300126559437125
global_step=4288, return=-7.799026661363332
global_step=4288, return=-6.420317212863216
global_step=4288, return=-3.6210485275465523
global_step=4352, return=-2.368786221347081
global_step=4352, return=16.266576643487937
global_step=4352, return=-2.6765905275904567
global_step=4352, return=-2.6399730747759413
global_step=4480, return=-1.3334684142495479
global_step=4480, return=-1.1917376067217462
global_step=4480, return=-3.8475649246477834
global_step=4544, return=3.3944477610679926
global_step=4544, return=-2.6650294228915787
global_step=4544, return=-4.933642363273487
global_step=4544, return=2.190997916234047
global_step=4544, return=1.0830125196779299
global_step=4608, return=4.457804977096972
global_step=4608, return=-10.554947427967843
global_step=4672, return=-4.764199929358579
global_step=4672, return=2.759118013150007
global_step=4672, return=-0.30305337774630403
global_step=4736, return=-11.62333890935378
global_step=4736, return=-11.272202374479328
global_step=4800, return=22.510058912817613
global_step=4864, return=-1.678397466824265
global_step=4864, return=-2.7532661236396425
global_step=4864, return=-4.990142192492783
global_step=4928, return=0.8570720096604995
global_step=4928, return=-2.5732947169187015
global_step=4992, return=0.6287281972455036
global_step=4992, return=2.2778314716742685
global_step=4992, return=-1.354394385489948
global_step=4992, return=-0.42471850195319927
global_step=5056, return=4.026611384016242
global_step=5056, return=0.8782530782203117
global_step=5056, return=-3.5465700353936045
global_step=5056, return=-8.468240911767822
global_step=5056, return=-6.711161186369315
global_step=5120, return=-4.0863312717863485
global_step=5120, return=6.348670919478316
global_step=5120, return=4.645735548593379
global_step=5120, return=-6.725944317499607
global_step=5120, return=0.3142615646235092
global_step=5120, return=-5.626052364467749
global_step=5120, return=-2.116616271602062
global_step=5120, return=1.524886864542889
global_step=5184, return=-4.946327297700352
global_step=5248, return=-3.5256472672738957
global_step=5248, return=-2.6808216109842276
global_step=5248, return=-6.081754779286753
global_step=5248, return=-3.960501483651444
global_step=5312, return=2.104459968357541
global_step=5376, return=0.6931756089539773
global_step=5376, return=-6.817915818296896
global_step=5376, return=5.584046453404751
global_step=5376, return=1.5960694126823445
global_step=5376, return=2.2084135034353047
global_step=5440, return=-1.4612801204365788
global_step=5440, return=-0.6923451252940833
global_step=5440, return=-5.459334889529369
global_step=5504, return=-10.067991421995755
global_step=5504, return=-11.443652625009742
global_step=5568, return=11.45496214589444
global_step=5568, return=-6.550660884758846
global_step=5632, return=3.95689549792378
global_step=5632, return=-3.6885757822708225
global_step=5632, return=-4.181463715387058
global_step=5696, return=-3.7719686296730615
global_step=5696, return=-2.620429105631972
global_step=5760, return=-1.1464759736073786
global_step=5760, return=-0.059489724451749604
global_step=5760, return=-4.727350979574567
global_step=5824, return=-4.688195795646807
global_step=5824, return=-6.095685055585497
global_step=5824, return=1.8819618034212011
global_step=5888, return=16.728695464846716
global_step=5888, return=-6.572607849441759
global_step=5888, return=1.7559188003601283
global_step=5952, return=1.8838737225598134
global_step=5952, return=12.651771769459739
global_step=5952, return=1.1264067389309314
global_step=5952, return=-3.699872007409126
global_step=6016, return=-5.4936495571347725
global_step=6016, return=-7.308111719653274
global_step=6080, return=-0.29529102493684656
global_step=6080, return=0.9999579470503048
global_step=6080, return=-5.165722458371859
global_step=6080, return=-4.469885989998385
global_step=6080, return=0.9635998174711369
global_step=6080, return=3.0964444082796643
global_step=6080, return=1.6207459556606005
global_step=6080, return=-7.180004260751488
global_step=6144, return=-3.207765519364446
global_step=6144, return=-1.8948265997485314
global_step=6144, return=10.773353841590229
global_step=6208, return=-9.2301639625654
global_step=6208, return=-1.7863708942115477
global_step=6208, return=1.6332441147210055
global_step=6208, return=2.595007986844346
global_step=6272, return=-7.977942556097224
global_step=6272, return=-3.249154281409277
global_step=6336, return=-4.435607659587236
global_step=6336, return=1.2752953556968647
global_step=6464, return=-3.227490316276436
global_step=6464, return=4.583016186786885
global_step=6464, return=5.893191586391995
global_step=6464, return=-0.9752298315076758
global_step=6528, return=-0.6885798530759659
global_step=6528, return=-1.7305280973414736
global_step=6528, return=-2.922709659372618
global_step=6528, return=-1.4174302638014664
global_step=6592, return=2.1224713808955293
global_step=6592, return=-6.258486426288729
global_step=6592, return=-7.222490445649942
global_step=6592, return=13.792572687477467
global_step=6592, return=-7.971498851904818
global_step=6656, return=-2.1255201194755013
global_step=6720, return=4.5055919735319145
global_step=6720, return=-3.0116988981577784
global_step=6784, return=-10.707202239318665
global_step=6848, return=-7.503435140137281
global_step=6848, return=-1.4127267446348584
global_step=6848, return=-3.7531698167935867
global_step=6912, return=-3.3585931494282417
global_step=6912, return=0.1671871925039652
