global_step=3600, return=-7.2680055629969225
global_step=3616, return=-0.6692117967816904
global_step=3616, return=-5.965941987570524
global_step=3616, return=4.089134897944388
global_step=3616, return=16.273775850170644
global_step=3632, return=0.09939119516227479
global_step=3664, return=-2.553231203749876
global_step=3680, return=1.5144824242997725
global_step=3696, return=1.6031994469600799
global_step=3728, return=-2.39494114383003
global_step=3760, return=-3.7884683153601424
global_step=3760, return=3.392918689407006
global_step=3808, return=3.2226154369750724
global_step=3808, return=2.6500585738238454
global_step=3808, return=15.156506011024371
global_step=3840, return=-0.5435166239381576
global_step=3856, return=-1.3027735470892055
global_step=3904, return=-3.5677564984551458
global_step=3904, return=-1.8076086945798573
global_step=3952, return=3.87016036808938
global_step=3968, return=-7.900246124811289
global_step=3968, return=-1.8901584397569153
global_step=4000, return=2.441613555381945
global_step=4000, return=-5.301968206836605
global_step=4016, return=-0.273017332359039
global_step=4016, return=1.627147419204612
global_step=4080, return=1.8789837376259784
global_step=4096, return=-2.7395923333151626
global_step=4096, return=4.102625279937077
SPS: 813
global_step=4112, return=3.4627359643891538
global_step=4192, return=1.1385319322085503
global_step=4208, return=-0.7355594295488879
global_step=4208, return=3.201434494695925
global_step=4224, return=-7.052050503656329
global_step=4256, return=0.24892573153152298
global_step=4304, return=2.933918064125846
global_step=4320, return=1.7942621565559775
global_step=4320, return=5.601435819675614
global_step=4368, return=5.417917274254357
global_step=4400, return=2.304538473419739
global_step=4432, return=3.677934837983029
global_step=4432, return=3.718608658959866
global_step=4448, return=3.0008992580301426
global_step=4464, return=0.6470969348227553
global_step=4464, return=-7.394851285759317
global_step=4480, return=-3.255766117054075
global_step=4496, return=4.921774729831628
global_step=4560, return=0.8913951594113404
global_step=4576, return=-1.3813994717710534
global_step=4608, return=5.21244571767406
global_step=4624, return=7.4750790603455215
global_step=4624, return=2.632656958007088
global_step=4656, return=-0.9072011242590601
global_step=4656, return=27.626081893431188
global_step=4672, return=1.4746155977316386
global_step=4688, return=1.3451821982483962
global_step=4720, return=3.021176290992252
global_step=4720, return=-6.581864075365477
global_step=4800, return=-3.8157875869347406
global_step=4848, return=2.3573146980349904
global_step=4864, return=-8.186362525445919
global_step=4864, return=-1.6225377136749601
global_step=4880, return=-9.369751387542406
global_step=4912, return=3.313973119492423
global_step=4928, return=-4.459200317843645
global_step=4944, return=2.241508216131213
global_step=4960, return=2.0393110343278438
global_step=4976, return=7.254502247911561
global_step=5024, return=-6.336105429541276
global_step=5072, return=27.280924361110536
global_step=5088, return=-3.6420289091060547
global_step=5104, return=0.4135814251082893
global_step=5136, return=1.4745654407168596
global_step=5152, return=0.7345000143333804
global_step=5200, return=-5.740147147027099
global_step=5200, return=-7.13013724947454
global_step=5216, return=-3.699737891600809
global_step=5216, return=1.7009982758223623
global_step=5248, return=-0.7105416085604057
global_step=5248, return=-1.1409591757162334
global_step=5312, return=0.04874980929692985
global_step=5328, return=0.26925391991848424
global_step=5376, return=0.2996227656506615
global_step=5376, return=7.535540644150517
global_step=5392, return=14.818661774466566
global_step=5424, return=5.19660493200117
global_step=5520, return=1.6222175655749884
global_step=5520, return=2.6317800256635766
global_step=5520, return=0.08383526112466289
global_step=5536, return=8.386064512670448
global_step=5536, return=-0.5301834150056648
global_step=5552, return=-2.037384984641024
global_step=5552, return=5.825125154990488
global_step=5568, return=1.0723897083473726
global_step=5568, return=-3.2237395758843777
global_step=5568, return=-7.981452448076532
global_step=5616, return=-1.6135720005269238
global_step=5632, return=-2.8142611201641685
global_step=5664, return=-0.2954944878245276
global_step=5680, return=1.129883300377261
global_step=5744, return=-0.7957300353207162
global_step=5792, return=1.0316138501759995
global_step=5808, return=1.6471690330072932
global_step=5824, return=4.704919619524662
global_step=5824, return=-8.291377484527832
global_step=5840, return=7.32140930252075
global_step=5840, return=-5.746473834000846
global_step=5840, return=-0.35845183122444124
global_step=5856, return=1.6238700393371388
global_step=5952, return=0.06652458404420947
global_step=5984, return=-7.405498781455686
global_step=6000, return=6.0798529393163925
global_step=6000, return=48.75948345486892
global_step=6032, return=7.8478883265221056
global_step=6032, return=-4.163362166507925
global_step=6080, return=1.5562902531355043
global_step=6096, return=-4.210924695134664
global_step=6112, return=3.5979066459184583
global_step=6112, return=3.440318304459229
global_step=6144, return=-0.662382827613115
SPS: 868
global_step=6176, return=-9.459325664641739
global_step=6208, return=2.580060304096224
global_step=6240, return=6.642562545892952
global_step=6240, return=0.2075962687355447
global_step=6272, return=18.234487239643048
global_step=6288, return=-0.9755032832393473
global_step=6336, return=-1.6395627085180713
global_step=6384, return=7.138781439339305
global_step=6400, return=-2.361844299218931
global_step=6416, return=0.2165673497511298
global_step=6448, return=-0.32360158046137644
global_step=6528, return=0.75414792148272
global_step=6544, return=6.370261102112805
global_step=6544, return=-5.110670434800419
global_step=6544, return=1.413532506133486
global_step=6576, return=-4.194241026365738
global_step=6576, return=-4.2662706413016185
global_step=6576, return=6.334355457630393
global_step=6592, return=-0.730593058169744
global_step=6592, return=-0.8108876040891244
global_step=6608, return=13.581100973149185
global_step=6624, return=-1.8400062882763786
global_step=6672, return=-2.1393539483189103
global_step=6720, return=8.585191728449734
global_step=6768, return=3.304961006596054
global_step=6784, return=12.273118125361982
global_step=6800, return=1.9646596388973774
global_step=6832, return=-0.9734236741473592
global_step=6848, return=-0.6322569478136468
global_step=6944, return=-1.3322928497657962
global_step=6960, return=0.9388242225662189
global_step=6976, return=1.2468009104638051
global_step=6992, return=6.011985337736783
global_step=6992, return=6.223547543680061
global_step=7040, return=7.411463637757529
global_step=7040, return=-3.8841446010398286
global_step=7040, return=9.346067586799215
global_step=7040, return=4.536795583130976
global_step=7056, return=1.0479947158178666
global_step=7056, return=9.082028019371194
global_step=7120, return=5.245216491831723
global_step=7120, return=3.3814705522178015
global_step=7136, return=0.27632193581142483
global_step=7152, return=-3.4924947206219668
global_step=7200, return=4.334279869438679
global_step=7216, return=-2.274072968871846
global_step=7232, return=-9.50568444130763
global_step=7296, return=7.221227705494277
global_step=7312, return=-1.3432337961935594
global_step=7376, return=2.4939176380609824
global_step=7376, return=5.944970901595859
global_step=7440, return=6.607452508891565
global_step=7504, return=10.406315499531129
global_step=7520, return=4.588473819045786
global_step=7520, return=2.876204604161857
global_step=7520, return=0.8456609417887127
global_step=7536, return=4.313752191501196
global_step=7568, return=-0.291877581117985
global_step=7648, return=-0.6341417737450272
global_step=7664, return=5.0765892721593
global_step=7680, return=8.881595388092773
global_step=7696, return=1.4536020895863957
global_step=7712, return=10.862024851561763
global_step=7728, return=-0.7713838667338697
global_step=7760, return=19.05149632246906
global_step=7808, return=1.5551575290612123
